merchant_id,sector,txn_velocity_drop_pct,balance_drop_pct,wc_utilization_pct,complaints_12m,churn_probability,risk_tier
MRC04551,Construction,77.78,56.21,93.6,6,0.9999635,High
MRC02745,Small Mfg,72.73,58.28,89.52,3,0.999961,High
MRC00781,Small Mfg,57.14,31.15,76.56,3,0.99994373,High
MRC02784,Food & Beverages,55.88,47.57,85.81,2,0.9999436,High
MRC04013,Small Mfg,64.29,29.35,97.02,2,0.9999416,High
MRC00308,Textile & Apparel,57.14,57.84,97.3,4,0.9999385,High
MRC04429,Retail Trader,52.27,37.03,82.74,2,0.9999373,High
MRC01970,Retail Trader,65.71,39.14,89.75,2,0.9999372,High
MRC02472,Construction,57.14,57.23,0.0,2,0.9999325,High
MRC02692,Small Mfg,73.68,32.18,78.59,3,0.99993134,High
MRC02544,Small Mfg,61.82,31.61,92.82,2,0.9999311,High
MRC02919,Textile & Apparel,78.05,44.86,76.13,2,0.99993014,High
MRC01457,Small Mfg,49.15,46.37,93.1,2,0.9999291,High
MRC00774,Textile & Apparel,52.27,46.08,89.24,2,0.99992895,High
MRC02079,Construction,73.68,38.75,90.85,2,0.9999254,High
MRC03043,Retail Trader,64.29,57.6,86.88,2,0.99992526,High
MRC00342,Agri-Allied,48.94,48.99,88.82,0,0.99992514,High
MRC03436,Textile & Apparel,57.14,41.93,99.58,2,0.99992347,High
MRC01199,Food & Beverages,72.09,54.61,95.25,1,0.9999232,High
MRC04561,Small Mfg,70.73,57.17,0.0,2,0.99992144,High
MRC03314,Retail Trader,69.23,56.96,0.0,1,0.99992144,High
MRC02853,Retail Trader,70.0,39.9,0.0,4,0.9999213,High
MRC03081,Food & Beverages,56.36,53.34,90.6,2,0.9999193,High
MRC03980,Textile & Apparel,60.0,57.73,91.53,3,0.9999193,High
MRC00057,Retail Trader,66.67,41.72,94.81,0,0.9999149,High
MRC02093,Retail Trader,65.38,53.24,94.77,5,0.99991477,High
MRC04233,Textile & Apparel,77.78,40.73,88.51,1,0.99991465,High
MRC02727,Retail Trader,79.07,31.39,0.0,3,0.9999145,High
MRC03608,Textile & Apparel,63.27,50.53,0.0,4,0.9999144,High
MRC01229,Construction,75.0,44.17,95.57,1,0.9999126,High
MRC01595,Small Mfg,71.7,24.32,87.87,6,0.99991214,High
MRC02035,Small Mfg,53.85,51.91,90.57,3,0.99991024,High
MRC04187,Retail Trader,80.0,57.89,0.0,4,0.99991,High
MRC02523,Textile & Apparel,53.85,31.35,83.01,2,0.99990916,High
MRC04461,Textile & Apparel,47.83,59.13,78.17,7,0.99990916,High
MRC04813,Retail Trader,69.23,45.98,0.0,3,0.99990904,High
MRC04915,Retail Trader,64.71,29.26,82.92,2,0.9999087,High
MRC02237,Tech Services,73.33,33.4,93.83,2,0.9999069,High
MRC04642,Textile & Apparel,54.17,36.62,94.92,2,0.9999064,High
MRC01270,Textile & Apparel,49.15,36.8,0.0,2,0.99990475,High
MRC02994,Textile & Apparel,54.55,35.2,0.0,4,0.9999043,High
MRC00518,Food & Beverages,73.68,51.5,93.61,1,0.99990344,High
MRC04710,Small Mfg,80.0,37.54,0.0,3,0.99990344,High
MRC04385,Tech Services,66.67,47.93,82.72,2,0.999902,High
MRC02550,Retail Trader,85.0,35.7,99.67,1,0.9999014,High
MRC04812,Tech Services,52.63,55.1,83.54,2,0.99990106,High
MRC00854,Tech Services,65.91,46.4,83.63,3,0.99989295,High
MRC04545,Textile & Apparel,67.57,39.03,0.0,4,0.99989223,High
MRC02834,Textile & Apparel,85.0,47.23,75.41,2,0.99989116,High
MRC03252,Retail Trader,75.0,33.64,99.51,1,0.9998895,High
MRC03025,Retail Trader,70.0,29.76,0.0,1,0.9998883,High
MRC00155,Construction,58.33,52.85,90.19,1,0.99988735,High
MRC01458,Small Mfg,80.43,57.36,0.0,3,0.9998852,High
MRC02662,Tech Services,55.88,33.97,0.0,3,0.99988484,High
MRC01887,Retail Trader,52.27,47.12,81.1,2,0.99988234,High
MRC02797,Retail Trader,56.36,57.06,83.13,3,0.9998809,High
MRC02557,Agri-Allied,73.91,49.15,92.89,2,0.9998807,High
MRC03637,Tech Services,73.91,37.71,0.0,2,0.9998802,High
MRC04246,Construction,68.66,53.76,96.23,0,0.9998766,High
MRC01184,Construction,81.63,52.72,0.0,4,0.99987197,High
MRC04537,Textile & Apparel,75.51,50.61,90.56,1,0.9998714,High
MRC04579,Construction,78.57,40.16,0.0,1,0.9998704,High
MRC01692,Agri-Allied,52.0,57.99,0.0,4,0.99987006,High
MRC01315,Textile & Apparel,53.85,38.47,0.0,3,0.99986887,High
MRC02345,Construction,67.57,53.75,0.0,2,0.99986863,High
MRC00736,Tech Services,57.89,57.17,0.0,1,0.9998672,High
MRC01321,Retail Trader,71.7,31.59,0.0,2,0.99986684,High
MRC01680,Small Mfg,61.54,48.75,0.0,2,0.9998653,High
MRC04362,Small Mfg,78.05,46.51,77.17,2,0.9998641,High
MRC03494,Tech Services,59.62,53.48,0.0,3,0.99986017,High
MRC00948,Tech Services,83.64,16.46,75.62,2,0.9998598,High
MRC01894,Retail Trader,78.57,45.27,76.41,4,0.9998584,High
MRC01933,Agri-Allied,80.43,44.33,88.96,2,0.99985695,High
MRC00799,Small Mfg,55.0,47.01,97.32,1,0.9998554,High
MRC03982,Food & Beverages,59.46,55.7,78.68,0,0.99985504,High
MRC02577,Construction,65.12,57.86,0.0,3,0.99985456,High
MRC02305,Construction,57.14,35.74,95.33,5,0.9998542,High
MRC01711,Retail Trader,54.35,44.01,88.64,1,0.9998373,High
MRC01739,Textile & Apparel,80.85,40.44,0.0,2,0.9998349,High
MRC00053,Construction,70.73,26.9,94.09,3,0.99983,High
MRC01084,Tech Services,52.63,53.4,87.01,5,0.999828,High
MRC02235,Small Mfg,51.16,46.72,0.0,3,0.99982786,High
MRC02738,Agri-Allied,70.73,17.71,90.29,3,0.9998266,High
MRC04465,Small Mfg,47.37,31.52,78.78,1,0.9998254,High
MRC03290,Retail Trader,52.63,55.06,96.26,0,0.9998242,High
MRC04738,Textile & Apparel,56.1,51.36,0.0,5,0.9998235,High
MRC02710,Textile & Apparel,72.73,51.94,0.0,4,0.99982256,High
MRC02717,Small Mfg,78.05,52.95,0.0,2,0.9998147,High
MRC02730,Agri-Allied,64.29,35.68,0.0,4,0.99980825,High
MRC01567,Small Mfg,52.0,55.13,92.72,3,0.99980456,High
MRC03813,Retail Trader,52.63,25.52,98.48,2,0.9998042,High
MRC03869,Small Mfg,56.1,34.93,0.0,2,0.9998024,High
MRC02572,Tech Services,79.55,47.86,0.0,1,0.9997968,High
MRC02798,Small Mfg,76.92,52.14,0.0,0,0.99979585,High
MRC02242,Retail Trader,60.53,35.86,99.78,3,0.99979573,High
MRC03300,Food & Beverages,70.97,41.81,0.0,5,0.9997944,High
MRC03192,Tech Services,64.0,58.65,87.23,1,0.9997917,High
MRC03115,Retail Trader,76.92,54.78,0.0,1,0.99978834,High
MRC04999,Food & Beverages,57.14,34.16,92.55,3,0.99978274,High
MRC03974,Small Mfg,70.0,31.39,0.0,2,0.99978155,High
MRC02102,Agri-Allied,78.05,16.79,90.67,2,0.9997799,High
MRC04024,Food & Beverages,72.22,51.09,0.0,0,0.99977607,High
MRC00642,Textile & Apparel,63.41,47.96,81.23,2,0.99977237,High
MRC00846,Textile & Apparel,75.51,56.53,0.0,1,0.999772,High
MRC04673,Small Mfg,82.35,56.71,75.41,2,0.9997693,High
MRC00417,Textile & Apparel,77.78,47.22,0.0,5,0.9997652,High
MRC01557,Small Mfg,47.06,33.16,77.32,1,0.9997627,High
MRC01485,Textile & Apparel,70.0,25.48,0.0,3,0.99975866,High
MRC04066,Retail Trader,57.14,27.42,98.09,3,0.9997533,High
MRC02163,Textile & Apparel,61.7,36.41,76.16,5,0.99975246,High
MRC04226,Food & Beverages,63.27,44.99,0.0,1,0.99974495,High
MRC00015,Retail Trader,75.51,39.28,0.0,3,0.9997447,High
MRC03932,Retail Trader,56.1,46.22,75.38,1,0.9997383,High
MRC00081,Tech Services,78.95,26.91,94.99,7,0.9997377,High
MRC01586,Retail Trader,74.14,56.57,81.99,0,0.999734,High
MRC00362,Small Mfg,58.33,30.9,93.19,1,0.9997141,High
MRC03143,Small Mfg,58.14,51.66,93.63,1,0.9997061,High
MRC02241,Food & Beverages,53.33,18.84,78.03,5,0.9997023,High
MRC00973,Food & Beverages,55.0,38.61,79.35,2,0.9996989,High
MRC02645,Retail Trader,58.82,16.93,0.0,2,0.99969816,High
MRC02243,Small Mfg,56.45,21.78,89.94,2,0.9996947,High
MRC02500,Textile & Apparel,65.38,52.49,0.0,1,0.999694,High
MRC02185,Small Mfg,61.7,30.08,90.33,2,0.99969363,High
MRC01267,Textile & Apparel,62.5,19.79,78.66,2,0.99968946,High
MRC02053,Retail Trader,64.71,37.07,0.0,2,0.9996774,High
MRC00019,Textile & Apparel,61.82,54.33,0.0,4,0.9996736,High
MRC00840,Small Mfg,63.27,39.59,0.0,0,0.99967146,High
MRC01903,Food & Beverages,75.51,47.23,0.0,1,0.99966824,High
MRC02769,Agri-Allied,63.79,37.81,86.79,1,0.99966633,High
MRC04779,Retail Trader,88.0,47.35,0.0,3,0.9996662,High
MRC02952,Small Mfg,76.92,32.63,88.5,1,0.99966586,High
MRC03467,Textile & Apparel,53.33,57.58,82.39,1,0.9996592,High
MRC04169,Textile & Apparel,63.41,37.92,98.24,1,0.99965906,High
MRC04649,Tech Services,77.78,29.58,79.35,7,0.9996457,High
MRC02947,Agri-Allied,65.12,26.46,99.59,2,0.99964523,High
MRC03984,Retail Trader,47.83,37.99,0.0,1,0.9996449,High
MRC00027,Retail Trader,58.14,54.29,0.0,2,0.9996319,High
MRC00911,Small Mfg,68.42,27.78,93.66,4,0.99962974,High
MRC00458,Agri-Allied,76.92,43.16,0.0,1,0.9996269,High
MRC00375,Retail Trader,72.09,41.93,0.0,2,0.9996221,High
MRC04882,Agri-Allied,64.41,46.56,0.0,2,0.99961436,High
MRC03216,Retail Trader,53.85,43.88,88.87,3,0.9996124,High
MRC00180,Retail Trader,72.09,37.65,77.6,4,0.9996099,High
MRC01134,Retail Trader,51.16,19.83,0.0,2,0.9996069,High
MRC00778,Small Mfg,76.92,21.98,86.58,4,0.9996057,High
MRC01713,Food & Beverages,76.47,38.28,98.62,3,0.9996014,High
MRC01669,Retail Trader,68.42,16.44,78.06,2,0.9995751,High
MRC02722,Food & Beverages,70.73,25.23,0.0,6,0.9995734,High
MRC03381,Textile & Apparel,51.35,40.96,77.63,0,0.9995604,High
MRC00522,Textile & Apparel,79.55,43.69,91.45,3,0.9995571,High
MRC02516,Tech Services,79.31,55.95,88.34,0,0.99954236,High
MRC04877,Small Mfg,62.5,59.56,95.22,0,0.9995408,High
MRC04126,Small Mfg,75.0,20.14,80.75,3,0.99953985,High
MRC03764,Textile & Apparel,80.85,30.6,93.87,1,0.99949205,High
MRC04744,Construction,48.94,54.35,0.0,3,0.99948275,High
MRC02129,Tech Services,51.16,26.94,0.0,4,0.9994808,High
MRC01189,Textile & Apparel,83.64,50.58,0.0,1,0.9994485,High
MRC01969,Textile & Apparel,72.73,53.76,78.0,8,0.9994161,High
MRC00685,Tech Services,74.47,55.28,0.0,1,0.9993981,High
MRC03915,Construction,77.78,25.04,77.61,3,0.9993843,High
MRC04651,Retail Trader,52.0,46.02,82.31,1,0.9993777,High
MRC03017,Food & Beverages,63.79,42.57,98.29,1,0.9993742,High
MRC01834,Food & Beverages,76.32,47.8,0.0,1,0.99937016,High
