credit_score,tenure_months,num_products,has_working_capital_loan,has_pos_machine,txn_velocity_drop_pct,avg_ticket_size_90d,ticket_size_variance_pct,balance_drop_pct,wc_utilization_pct,pos_txn_monthly,complaints_12m,days_since_last_txn,satisfaction_score,cashback_utilization,sector_encoded
587,15,1,0,0,-2.13,1059.92,10.08,-7.88,0.0,0,1,0,4,0.707,5
688,74,1,0,1,-9.09,9906.76,17.37,6.28,0.0,21,0,7,5,0.947,0
814,78,1,0,1,-7.14,1354.94,20.01,-6.77,0.0,40,1,13,4,0.459,2
635,69,2,0,1,2.5,5609.21,17.44,0.06,0.0,32,0,11,5,0.833,3
573,59,3,1,0,2.04,3320.66,18.21,7.47,35.44,0,1,0,5,0.314,4
666,26,1,1,1,16.28,1544.13,12.68,9.64,59.49,29,0,11,5,0.921,4
700,100,2,1,1,70.73,556.12,40.06,17.71,90.29,3,3,47,3,0.026,0
664,81,2,0,1,2.5,5049.81,8.94,-9.81,0.0,27,0,11,4,0.893,6
695,64,1,1,1,6.25,1254.22,20.57,10.7,30.8,28,1,5,4,0.326,5
630,91,1,0,0,-2.13,6985.65,23.48,7.72,0.0,0,0,8,5,0.384,1
567,87,1,1,1,-8.51,12327.5,15.69,-9.29,74.8,30,0,0,4,0.607,1
837,119,1,0,1,-4.35,3366.35,7.9,-9.19,0.0,30,0,2,4,0.686,3
500,27,1,1,1,3.23,878.46,7.44,11.85,46.35,28,0,12,3,0.956,4
618,57,2,1,1,-11.63,1475.72,14.71,12.18,36.22,31,1,7,3,0.904,1
528,112,1,1,0,5.26,980.68,5.94,-0.25,68.6,0,0,1,3,0.923,4
739,27,1,0,1,18.92,656.28,19.91,3.34,0.0,29,0,5,3,0.559,3
676,65,1,1,1,2.5,13665.05,10.32,8.11,50.34,29,0,8,3,0.773,3
639,52,2,1,1,-7.14,10385.47,11.4,-1.47,59.56,26,0,7,4,0.355,4
746,24,1,1,0,-3.85,813.05,23.17,9.24,42.47,0,0,13,5,0.839,2
747,76,2,0,0,7.14,6154.29,17.34,0.35,0.0,0,1,8,4,0.766,1
