merchant_id,sector,tenure_months,credit_score,num_products,has_working_capital_loan,has_pos_machine,estimated_annual_turnover,account_balance,txn_count_90d,txn_count_30d,txn_velocity_drop_pct,avg_ticket_size_90d,ticket_size_variance_pct,balance_drop_pct,wc_utilization_pct,pos_txn_monthly,complaints_12m,days_since_last_txn,satisfaction_score,cashback_utilization,churn,risk_tier,sector_encoded,churn_probability
MRC00001,Textile & Apparel,51,583,3,1,0,9186720.49,398515.87,46,13,15.22,49657.95,11.58,6.68,54.05,0,0,4,3,0.472,0,Low,6,8.672422e-05
MRC00002,Construction,104,737,1,0,1,435671.24,10441.02,41,14,-2.44,2640.43,23.57,-5.88,0.0,39,1,9,4,0.413,0,Low,1,0.00011934795
MRC00003,Food & Beverages,71,719,2,0,0,11195551.37,711420.09,47,14,10.64,59235.72,13.67,13.99,0.0,0,0,8,5,0.525,0,Low,2,0.00016305794
MRC00004,Small Mfg,96,610,2,1,1,1974417.0,107790.4,54,15,16.67,9098.7,12.29,-6.13,68.29,28,0,5,3,0.579,0,Low,4,6.0269955e-05
MRC00005,Retail Trader,48,696,1,1,0,137085.66,16798.51,40,14,-5.0,851.46,9.78,-1.59,36.68,0,0,1,4,0.997,0,Low,3,0.00016766696
MRC00006,Retail Trader,19,529,1,1,0,943017.96,64670.73,47,13,17.02,4989.51,22.85,14.47,62.35,0,1,10,5,0.595,0,Low,3,0.00013358894
MRC00007,Retail Trader,6,664,2,1,1,2057020.5,237142.87,43,14,2.33,11890.29,24.15,-4.7,51.11,37,0,12,4,0.824,0,Low,3,9.161605e-05
MRC00008,Tech Services,84,686,1,0,1,39712.47,878.09,35,13,-11.43,281.65,11.47,5.78,0.0,34,0,8,4,0.94,0,Low,5,0.00013187966
MRC00009,Small Mfg,27,786,1,1,1,1580641.59,34656.48,44,12,18.18,8930.18,17.33,14.44,46.01,30,0,4,5,0.685,0,Low,4,0.00011936752
MRC00010,Small Mfg,53,588,1,0,1,2979498.08,70944.08,44,4,72.73,16833.32,43.77,55.94,0.0,7,1,42,2,0.04,1,High,4,0.9996799
MRC00011,Retail Trader,107,547,2,0,1,1177191.12,57113.31,45,4,73.33,6503.82,53.12,51.45,0.0,3,4,22,1,0.151,1,High,3,0.99978346
